“X”,“Y”,“Z”,“U”,“V”,“W”,“exx”,“eyy”,“e_xy”,“sigma”
3.5,26.5,0,0.027,-0.235,0,0,0,0,0
3.5,27.5,0,0.027,-0.225,0,0,0,0,0
3.5,28.5,0,0.027,-0.215,0,0,0,0,0
3.5,29.5,0,0.027,-0.205,0,0,0,0,0
3.5,30.5,0,0.027,-0.195,0,0,0,0,0
3.5,31.5,0,0.027,-0.185,0,0,0,0,0
3.5,32.5,0,0.027,-0.175,0,0,0,0,0
3.5,33.5,0,0.027,-0.165,0,0,0,0,0
3.5,34.5,0,0.027,-0.155,0,0,0,0,0
3.5,35.5,0,0.027,-0.145,0,0,0,0,0
3.5,36.5,0,0.027,-0.135,0,0,0,0,0
3.5,37.5,0,0.027,-0.125,0,0,0,0,0
3.5,38.5,0,0.027,-0.115,0,0,0,0,0
3.5,39.5,0,0.027,-0.105,0,0,0,0,0
3.5,40.5,0,0.027,-0.095,0,0,0,0,0
3.5,41.5,0,0.027,-0.085,0,0,0,0,0
3.5,42.5,0,0.027,-0.075,0,0,0,0,0
3.5,43.5,0,0.027,-0.065,0,0,0,0,0
3.5,44.5,0,0.027,-0.055,0,0,0,0,0
3.5,45.5,0,0,0,0,0,0,0,0
3.5,46.5,0,0,0,0,0,0,0,0
3.5,47.5,0,0,0,0,0,0,0,0
3.5,48.5,0,0,0,0,0,0,0,0
3.5,49.5,0,0,0,0,0,0,0,0
3.5,50.5,0,0,0,0,0,0,0,0
3.5,51.5,0,0,0,0,0,0,0,0
3.5,52.5,0,0,0,0,0,0,0,0
3.5,53.5,0,0,0,0,0,0,0,0
3.5,54.5,0,0,0,0,0,0,0,0
4.5,0.5,0,0.024,-0.495,0,0,0,0,0
4.5,1.5,0,0.024,-0.485,0,0,0,0,0
4.5,2.5,0,0.024,-0.475,0,0,0,0,0
4.5,3.5,0,0.024,-0.465,0,0,0,0,0
4.5,4.5,0,0.024,-0.455,0,0,0,0,0
4.5,5.5,0,0.024,-0.445,0,0,0,0,0
4.5,6.5,0,0.024,-0.435,0,0,0,0,0
4.5,7.5,0,0.024,-0.425,0,0,0,0,0
4.5,8.5,0,0.024,-0.415,0,0,0,0,0
4.5,9.5,0,0.024,-0.405,0,0,0,0,0
4.5,10.5,0,0.024,-0.395,0,0,0,0,0
4.5,11.5,0,0.024,-0.385,0,0,0,0,0
4.5,12.5,0,0.024,-0.375,0,0,0,0,0
4.5,13.5,0,0.024,-0.365,0,0,0,0,0
4.5,14.5,0,0.024,-0.355,0,0,0,0,0
4.5,15.5,0,0.024,-0.345,0,0,0,0,0
4.5,16.5,0,0.024,-0.335,0,0,0,0,0
4.5,17.5,0,0.024,-0.325,0,0,0,0,0
4.5,18.5,0,0.024,-0.315,0,0,0,0,0
4.5,19.5,0,0.024,-0.305,0,0,0,0,0
4.5,20.5,0,0.024,-0.295,0,0,0,0,0
4.5,21.5,0,0.024,-0.285,0,0,0,0,0
4.5,22.5,0,0.024,-0.275,0,0,0,0,0
4.5,23.5,0,0.024,-0.265,0,0,0,0,0
4.5,24.5,0,0.024,-0.255,0,0,0,0,0
4.5,25.5,0,0.024,-0.245,0,0,0,0,0
4.5,26.5,0,0.024,-0.235,0,0,0,0,0
4.5,27.5,0,0.024,-0.225,0,0,0,0,0
4.5,28.5,0,0.024,-0.215,0,0,0,0,0
4.5,29.5,0,0.024,-0.205,0,0,0,0,0
4.5,30.5,0,0.024,-0.195,0,0,0,0,0
4.5,31.5,0,0.024,-0.185,0,0,0,0,0
4.5,32.5,0,0.024,-0.175,0,0,0,0,0
4.5,33.5,0,0.024,-0.165,0,0,0,0,0
4.5,34.5,0,0.024,-0.155,0,0,0,0,0
4.5,35.5,0,0.024,-0.145,0,0,0,0,0
4.5,36.5,0,0.024,-0.135,0,0,0,0,0
4.5,37.5,0,0.024,-0.125,0,0,0,0,0
4.5,38.5,0,0.024,-0.115,0,0,0,0,0
4.5,39.5,0,0.024,-0.105,0,0,0,0,0
4.5,40.5,0,0.024,-0.095,0,0,0,0,0
4.5,41.5,0,0.024,-0.085,0,0,0,0,0
4.5,42.5,0,0.024,-0.075,0,0,0,0,0
4.5,43.5,0,0.024,-0.065,0,0,0,0,0
4.5,44.5,0,0.024,-0.055,0,0,0,0,0
4.5,45.5,0,0,0,0,0,0,0,0
4.5,46.5,0,0,0,0,0,0,0,0
4.5,47.5,0,0,0,0,0,0,0,0
4.5,48.5,0,0,0,0,0,0,0,0
4.5,49.5,0,0,0,0,0,0,0,0
4.5,50.5,0,0,0,0,0,0,0,0
4.5,51.5,0,0,0,0,0,0,0,0
4.5,52.5,0,0,0,0,0,0,0,0
4.5,53.5,0,0,0,0,0,0,0,0
4.5,54.5,0,0,0,0,0,0,0,0
5.5,0.5,0,0.021,-0.495,0,0,0,0,0
5.5,1.5,0,0.021,-0.485,0,0,0,0,0
5.5,2.5,0,0.021,-0.475,0,0,0,0,0
5.5,3.5,0,0.021,-0.465,0,0,0,0,0
5.5,4.5,0,0.021,-0.455,0,0,0,0,0
5.5,5.5,0,0.021,-0.445,0,0,0,0,0
5.5,6.5,0,0.021,-0.435,0,0,0,0,0
5.5,7.5,0,0.021,-0.425,0,0,0,0,0
5.5,8.5,0,0.021,-0.415,0,0,0,0,0
5.5,9.5,0,0.021,-0.405,0,0,0,0,0
5.5,10.5,0,0.021,-0.395,0,0,0,0,0
5.5,11.5,0,0.021,-0.385,0,0,0,0,0
5.5,12.5,0,0.021,-0.375,0,0,0,0,0
5.5,13.5,0,0.021,-0.365,0,0,0,0,0
5.5,14.5,0,0.021,-0.355,0,0,0,0,0
5.5,15.5,0,0.021,-0.345,0,0,0,0,0
5.5,16.5,0,0.021,-0.335,0,0,0,0,0
5.5,17.5,0,0.021,-0.325,0,0,0,0,0
5.5,18.5,0,0.021,-0.315,0,0,0,0,0
5.5,19.5,0,0.021,-0.305,0,0,0,0,0
5.5,20.5,0,0.021,-0.295,0,0,0,0,0
5.5,21.5,0,0.021,-0.285,0,0,0,0,0
5.5,22.5,0,0.021,-0.275,0,0,0,0,0
5.5,23.5,0,0.021,-0.265,0,0,0,0,0
5.5,24.5,0,0.021,-0.255,0,0,0,0,0
5.5,25.5,0,0.021,-0.245,0,0,0,0,0
5.5,26.5,0,0.021,-0.235,0,0,0,0,0
5.5,27.5,0,0.021,-0.225,0,0,0,0,0
5.5,28.5,0,0.021,-0.215,0,0,0,0,0
5.5,29.5,0,0.021,-0.205,0,0,0,0,0
5.5,30.5,0,0.021,-0.195,0,0,0,0,0
5.5,31.5,0,0.021,-0.185,0,0,0,0,0
5.5,32.5,0,0.021,-0.175,0,0,0,0,0
5.5,33.5,0,0.021,-0.165,0,0,0,0,0
5.5,34.5,0,0.021,-0.155,0,0,0,0,0
5.5,35.5,0,0.021,-0.145,0,0,0,0,0
5.5,36.5,0,0.021,-0.135,0,0,0,0,0
5.5,37.5,0,0.021,-0.125,0,0,0,0,0
5.5,38.5,0,0.021,-0.115,0,0,0,0,0
5.5,39.5,0,0.021,-0.105,0,0,0,0,0
5.5,40.5,0,0.021,-0.095,0,0,0,0,0
5.5,41.5,0,0.021,-0.085,0,0,0,0,0
5.5,42.5,0,0.021,-0.075,0,0,0,0,0
5.5,43.5,0,0.021,-0.065,0,0,0,0,0
5.5,44.5,0,0.021,-0.055,0,0,0,0,0
5.5,45.5,0,0,0,0,0,0,0,0
5.5,46.5,0,0,0,0,0,0,0,0
5.5,47.5,0,0,0,0,0,0,0,0
5.5,48.5,0,0,0,0,0,0,0,0
5.5,49.5,0,0,0,0,0,0,0,0
5.5,50.5,0,0,0,0,0,0,0,0
5.5,51.5,0,0,0,0,0,0,0,0
5.5,52.5,0,0,0,0,0,0,0,0
5.5,53.5,0,0,0,0,0,0,0,0
5.5,54.5,0,0,0,0,0,0,0,0
6.5,0.5,0,0.018,-0.495,0,0,0,0,0
6.5,1.5,0,0.018,-0.485,0,0,0,0,0
6.5,2.5,0,0.018,-0.475,0,0,0,0,0
6.5,3.5,0,0.018,-0.465,0,0,0,0,0
6.5,4.5,0,0.018,-0.455,0,0,0,0,0
6.5,5.5,0,0.018,-0.445,0,0,0,0,0
6.5,6.5,0,0.018,-0.435,0,0,0,0,0
6.5,7.5,0,0.018,-0.425,0,0,0,0,0
6.5,8.5,0,0.018,-0.415,0,0,0,0,0
6.5,9.5,0,0.018,-0.405,0,0,0,0,0
6.5,10.5,0,0.018,-0.395,0,0,0,0,0
6.5,11.5,0,0.018,-0.385,0,0,0,0,0
6.5,12.5,0,0.018,-0.375,0,0,0,0,0
6.5,13.5,0,0.018,-0.365,0,0,0,0,0
6.5,14.5,0,0.018,-0.355,0,0,0,0,0
6.5,15.5,0,0.018,-0.345,0,0,0,0,0
6.5,16.5,0,0.018,-0.335,0,0,0,0,0
6.5,17.5,0,0.018,-0.325,0,0,0,0,0
6.5,18.5,0,0.018,-0.315,0,0,0,0,0
6.5,19.5,0,0.018,-0.305,0,0,0,0,0
6.5,20.5,0,0.018,-0.295,0,0,0,0,0
6.5,21.5,0,0.018,-0.285,0,0,0,0,0
6.5,22.5,0,0.018,-0.275,0,0,0,0,0
6.5,23.5,0,0.018,-0.265,0,0,0,0,0
6.5,24.5,0,0.018,-0.255,0,0,0,0,0
6.5,25.5,0,0.018,-0.245,0,0,0,0,0
6.5,26.5,0,0.018,-0.235,0,0,0,0,0
6.5,27.5,0,0.018,-0.225,0,0,0,0,0
6.5,28.5,0,0.018,-0.215,0,0,0,0,0
6.5,29.5,0,0.018,-0.205,0,0,0,0,0
6.5,30.5,0,0.018,-0.195,0,0,0,0,0
6.5,31.5,0,0.018,-0.185,0,0,0,0,0
6.5,32.5,0,0.018,-0.175,0,0,0,0,0
6.5,33.5,0,0.018,-0.165,0,0,0,0,0
6.5,34.5,0,0.018,-0.155,0,0,0,0,0
6.5,35.5,0,0.018,-0.145,0,0,0,0,0
6.5,36.5,0,0.018,-0.135,0,0,0,0,0
6.5,37.5,0,0.018,-0.125,0,0,0,0,0
6.5,38.5,0,0.018,-0.115,0,0,0,0,0
6.5,39.5,0,0.018,-0.105,0,0,0,0,0
6.5,40.5,0,0.018,-0.095,0,0,0,0,0
6.5,41.5,0,0.018,-0.085,0,0,0,0,0
6.5,42.5,0,0.018,-0.075,0,0,0,0,0
6.5,43.5,0,0.018,-0.065,0,0,0,0,0
6.5,44.5,0,0.018,-0.055,0,0,0,0,0
6.5,45.5,0,0,0,0,0,0,0,0
6.5,46.5,0,0,0,0,0,0,0,0
6.5,47.5,0,0,0,0,0,0,0,0
6.5,48.5,0,0,0,0,0,0,0,0
6.5,49.5,0,0,0,0,0,0,0,0
6.5,50.5,0,0,0,0,0,0,0,0
6.5,51.5,0,0,0,0,0,0,0,0
6.5,52.5,0,0,0,0,0,0,0,0
6.5,53.5,0,0,0,0,0,0,0,0
6.5,54.5,0,0,0,0,0,0,0,0
7.5,0.5,0,0.015,-0.495,0,0,0,0,0
7.5,1.5,0,0.015,-0.485,0,0,0,0,0
7.5,2.5,0,0.015,-0.475,0,0,0,0,0
7.5,3.5,0,0.015,-0.465,0,0,0,0,0
7.5,4.5,0,0.015,-0.455,0,0,0,0,0
7.5,5.5,0,0.015,-0.445,0,0,0,0,0
7.5,6.5,0,0.015,-0.435,0,0,0,0,0
7.5,7.5,0,0.015,-0.425,0,0,0,0,0
7.5,8.5,0,0.015,-0.415,0,0,0,0,0
7.5,9.5,0,0.015,-0.405,0,0,0,0,0
7.5,10.5,0,0.015,-0.395,0,0,0,0,0
7.5,11.5,0,0.015,-0.385,0,0,0,0,0
7.5,12.5,0,0.015,-0.375,0,0,0,0,0
7.5,13.5,0,0.015,-0.365,0,0,0,0,0
7.5,14.5,0,0.015,-0.355,0,0,0,0,0
7.5,15.5,0,0.015,-0.345,0,0,0,0,0
7.5,16.5,0,0.015,-0.335,0,0,0,0,0
7.5,17.5,0,0.015,-0.325,0,0,0,0,0
7.5,18.5,0,0.015,-0.315,0,0,0,0,0
7.5,19.5,0,0.015,-0.305,0,0,0,0,0
7.5,20.5,0,0.015,-0.295,0,0,0,0,0
7.5,21.5,0,0.015,-0.285,0,0,0,0,0
7.5,22.5,0,0.015,-0.275,0,0,0,0,0
7.5,23.5,0,0.015,-0.265,0,0,0,0,0
7.5,24.5,0,0.015,-0.255,0,0,0,0,0
7.5,25.5,0,0.015,-0.245,0,0,0,0,0
7.5,26.5,0,0.015,-0.235,0,0,0,0,0
7.5,27.5,0,0.015,-0.225,0,0,0,0,0
7.5,28.5,0,0.015,-0.215,0,0,0,0,0
7.5,29.5,0,0.015,-0.205,0,0,0,0,0
7.5,30.5,0,0.015,-0.195,0,0,0,0,0
7.5,31.5,0,0.015,-0.185,0,0,0,0,0
7.5,32.5,0,0.015,-0.175,0,0,0,0,0
7.5,33.5,0,0.015,-0.165,0,0,0,0,0
7.5,34.5,0,0.015,-0.155,0,0,0,0,0
7.5,35.5,0,0.015,-0.145,0,0,0,0,0
7.5,36.5,0,0.015,-0.135,0,0,0,0,0
7.5,37.5,0,0.015,-0.125,0,0,0,0,0
7.5,38.5,0,0.015,-0.115,0,0,0,0,0
7.5,39.5,0,0.015,-0.105,0,0,0,0,0
7.5,40.5,0,0.015,-0.095,0,0,0,0,0
7.5,41.5,0,0.015,-0.085,0,0,0,0,0
7.5,42.5,0,0.015,-0.075,0,0,0,0,0
7.5,43.5,0,0.015,-0.065,0,0,0,0,0
7.5,44.5,0,0.015,-0.055,0,0,0,0,0
7.5,45.5,0,0,0,0,0,0,0,0
7.5,46.5,0,0,0,0,0,0,0,0
7.5,47.5,0,0,0,0,0,0,0,0
7.5,48.5,0,0,0,0,0,0,0,0
7.5,49.5,0,0,0,0,0,0,0,0
7.5,50.5,0,0,0,0,0,0,0,0
7.5,51.5,0,0,0,0,0,0,0,0
7.5,52.5,0,0,0,0,0,0,0,0
7.5,53.5,0,0,0,0,0,0,0,0
7.5,54.5,0,0,0,0,0,0,0,0
8.5,0.5,0,0.012,-0.495,0,0,0,0,0
8.5,1.5,0,0.012,-0.485,0,0,0,0,0
8.5,2.5,0,0.012,-0.475,0,0,0,0,0
8.5,3.5,0,0.012,-0.465,0,0,0,0,0
8.5,4.5,0,0.012,-0.455,0,0,0,0,0
8.5,5.5,0,0.012,-0.445,0,0,0,0,0
8.5,6.5,0,0.012,-0.435,0,0,0,0,0
8.5,7.5,0,0.012,-0.425,0,0,0,0,0
8.5,8.5,0,0.012,-0.415,0,0,0,0,0
8.5,9.5,0,0.012,-0.405,0,0,0,0,0
8.5,10.5,0,0.012,-0.395,0,0,0,0,0
8.5,11.5,0,0.012,-0.385,0,0,0,0,0
8.5,12.5,0,0.012,-0.375,0,0,0,0,0
8.5,13.5,0,0.012,-0.365,0,0,0,0,0
8.5,14.5,0,0.012,-0.355,0,0,0,0,0
8.5,15.5,0,0.012,-0.345,0,0,0,0,0
8.5,16.5,0,0.012,-0.335,0,0,0,0,0
8.5,17.5,0,0.012,-0.325,0,0,0,0,0
8.5,18.5,0,0.012,-0.315,0,0,0,0,0
8.5,19.5,0,0.012,-0.305,0,0,0,0,0
8.5,20.5,0,0.012,-0.295,0,0,0,0,0
8.5,21.5,0,0.012,-0.285,0,0,0,0,0
8.5,22.5,0,0.012,-0.275,0,0,0,0,0
8.5,23.5,0,0.012,-0.265,0,0,0,0,0
8.5,24.5,0,0.012,-0.255,0,0,0,0,0
8.5,25.5,0,0.012,-0.245,0,0,0,0,0
8.5,26.5,0,0.012,-0.235,0,0,0,0,0
8.5,27.5,0,0.012,-0.225,0,0,0,0,0
8.5,28.5,0,0.012,-0.215,0,0,0,0,0
8.5,29.5,0,0.012,-0.205,0,0,0,0,0
8.5,30.5,0,0.012,-0.195,0,0,0,0,0
8.5,31.5,0,0.012,-0.185,0,0,0,0,0
8.5,32.5,0,0.012,-0.175,0,0,0,0,0
8.5,33.5,0,0.012,-0.165,0,0,0,0,0
8.5,34.5,0,0.012,-0.155,0,0,0,0,0
8.5,35.5,0,0.012,-0.145,0,0,0,0,0
8.5,36.5,0,0.012,-0.135,0,0,0,0,0
8.5,37.5,0,0.012,-0.125,0,0,0,0,0
8.5,38.5,0,0.012,-0.115,0,0,0,0,0
8.5,39.5,0,0.012,-0.105,0,0,0,0,0
8.5,40.5,0,0.012,-0.095,0,0,0,0,0
8.5,41.5,0,0.012,-0.085,0,0,0,0,0
8.5,42.5,0,0.012,-0.075,0,0,0,0,0
8.5,43.5,0,0.012,-0.065,0,0,0,0,0
8.5,44.5,0,0.012,-0.055,0,0,0,0,0
8.5,45.5,0,0,0,0,0,0,0,0
8.5,46.5,0,0,0,0,0,0,0,0
8.5,47.5,0,0,0,0,0,0,0,0
8.5,48.5,0,0,0,0,0,0,0,0
8.5,49.5,0,0,0,0,0,0,0,0
8.5,50.5,0,0,0,0,0,0,0,0
8.5,51.5,0,0,0,0,0,0,0,0
8.5,52.5,0,0,0,0,0,0,0,0
8.5,53.5,0,0,0,0,0,0,0,0
